City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,chegdomyn,51.1167,133.0167,-29.139999999999986,100,37,1.04,RU,1708797140
1,hithadhoo,-0.6,73.0833,28.32000000000005,79,91,6.32,MV,1708797140
2,badger,64.8,-147.5333,-18.859999999999985,81,0,0.0,US,1708797140
3,nagqu,31.5,92.0,-8.95999999999998,37,85,9.02,CN,1708797141
4,waitangi,-43.9535,-176.5597,17.120000000000005,94,100,2.24,NZ,1708797141
5,labrador city,52.9463,-66.9114,-21.049999999999983,59,20,5.14,CA,1708797141
6,edinburgh of the seven seas,-37.0676,-12.3116,17.30000000000001,67,4,5.82,SH,1708797142
7,fomboni,-12.28,43.7425,29.02000000000004,69,100,0.35,KM,1708797142
8,mount isa,-20.7333,139.5,25.870000000000005,73,10,4.12,AU,1708797142
9,port-aux-francais,-49.35,70.2167,5.7000000000000455,76,59,11.85,TF,1708797143
10,brisas barra de suchiate,14.55,-92.2167,28.52000000000004,62,7,4.23,MX,1708797143
11,wailua homesteads,22.0669,-159.378,22.439999999999998,77,20,3.6,US,1708797143
12,petawawa,45.9001,-77.3328,-12.339999999999975,47,76,2.24,CA,1708797144
13,puerto ayora,-0.7393,-90.3518,30.980000000000018,90,53,4.92,EC,1708796915
14,rio grande,-32.035,-52.0986,29.060000000000002,71,18,5.76,BR,1708797103
15,papatowai,-46.5619,169.4708,11.920000000000016,89,91,6.23,NZ,1708796847
16,blackmans bay,-43.0167,147.3167,12.07000000000005,89,43,0.45,AU,1708797146
17,grytviken,-54.2811,-36.5092,2.430000000000007,68,89,6.09,GS,1708797146
18,fortuna,40.5982,-124.1573,12.770000000000039,89,0,0.0,US,1708797146
19,waspan,14.7419,-83.9717,31.75,36,6,2.43,NI,1708797146
20,ilulissat,69.2167,-51.1,-3.9899999999999523,63,75,3.6,GL,1708796920
21,jasper,37.2001,-94.3502,13.920000000000016,43,0,0.89,US,1708797147
22,christchurch,-43.5333,172.6333,15.850000000000023,83,69,1.54,NZ,1708796904
23,remire-montjoly,4.9167,-52.2667,26.02000000000004,100,75,1.54,GF,1708797013
24,aasiaat,68.7098,-52.8699,-10.919999999999959,84,100,5.06,GL,1708797148
25,jamestown,42.097,-79.2353,-1.3799999999999955,50,55,2.68,US,1708797073
26,anadyr,64.75,177.4833,-19.71999999999997,76,75,5.0,RU,1708796878
27,al kharijah,25.4514,30.5464,19.58000000000004,33,20,4.17,EG,1708797148
28,piti village,13.4626,144.6933,26.49000000000001,89,75,4.12,GU,1708797149
29,bredasdorp,-34.5322,20.0403,17.060000000000002,86,100,7.86,ZA,1708797149
30,invercargill,-46.4,168.35,12.79000000000002,84,91,4.02,NZ,1708796868
31,salalah,17.0151,54.0924,26.05000000000001,69,20,1.03,OM,1708797149
32,san patricio,28.017,-97.5169,26.05000000000001,30,6,4.77,US,1708797148
33,thunder bay,48.4001,-89.3168,-2.009999999999991,54,20,5.66,CA,1708796908
34,bethel,41.3712,-73.414,5.57000000000005,50,0,6.69,US,1708797150
35,as sulayyil,20.4607,45.5779,27.140000000000043,15,1,4.09,SA,1708797150
36,adamstown,-25.066,-130.1015,26.370000000000005,76,45,5.83,PN,1708796850
37,manaure,11.7751,-72.4445,30.29000000000002,56,87,4.96,CO,1708797150
38,puerto deseado,-47.7503,-65.8938,16.57000000000005,50,19,7.98,AR,1708797151
39,uturoa,-16.7333,-151.4333,28.230000000000018,76,82,3.66,PF,1708797151
40,sisimiut,66.9395,-53.6735,-13.189999999999998,90,100,6.53,GL,1708797151
41,castlegar,49.2998,-117.6689,5.3799999999999955,91,100,1.7,CA,1708797151
42,albany,42.6001,-73.9662,-0.6599999999999682,58,54,2.24,US,1708797040
43,kerikeri,-35.2268,173.9474,20.510000000000048,92,82,2.44,NZ,1708797152
44,ondjiva,-17.0667,15.7333,34.02000000000004,27,0,0.51,AO,1708797152
45,stanley,54.868,-1.6985,5.770000000000039,75,40,1.54,GB,1708797152
46,petropavlovsk-kamchatsky,53.0452,158.6483,-20.859999999999985,82,0,5.36,RU,1708797153
47,king,47.4665,-121.8179,3.3799999999999955,91,99,0.89,US,1708797153
48,alofi,-19.0595,-169.9187,24.939999999999998,94,75,1.54,NU,1708797153
49,ushuaia,-54.8,-68.3,11.810000000000002,71,0,4.12,AR,1708797153
50,galliano,29.4422,-90.2992,23.33000000000004,20,0,4.12,US,1708797153
51,alice springs,-23.7,133.8833,27.900000000000034,34,0,3.6,AU,1708797154
52,whitehorse,60.7161,-135.0538,-16.569999999999993,84,20,1.54,CA,1708797154
53,las tunas,20.9617,-76.9511,30.430000000000007,31,1,5.76,CU,1708797154
54,flying fish cove,-10.4217,105.6791,25.82000000000005,88,40,1.54,CX,1708796991
55,talnakh,69.4865,88.3972,-19.329999999999984,93,99,4.37,RU,1708797155
56,yellowknife,62.456,-114.3525,-25.879999999999967,80,75,4.63,CA,1708797155
57,pama,11.2497,0.7075,34.68000000000001,19,98,1.35,BF,1708797155
58,keflavik,64.0049,-22.5624,-1.0499999999999545,74,40,7.72,IS,1708797155
59,kapuskasing,49.4169,-82.4331,-10.949999999999989,48,40,4.63,CA,1708797155
60,bar,49.0772,27.6826,9.910000000000025,83,100,6.27,UA,1708797156
61,kyosai,34.8503,128.5886,1.9800000000000182,88,100,6.03,KR,1708797156
62,natchitoches,31.7668,-93.1335,22.470000000000027,28,0,3.6,US,1708797156
63,mount pearl,47.5166,-52.7813,7.2900000000000205,70,75,6.69,CA,1708797039
64,georgetown,5.4112,100.3354,29.970000000000027,77,20,2.06,MY,1708797058
65,mar del plata,-38.0023,-57.5575,18.30000000000001,56,75,6.26,AR,1708797158
66,benguela,-12.5763,13.4055,27.710000000000036,81,100,1.37,AO,1708797158
67,dakoro,14.5106,6.765,28.090000000000032,18,85,3.02,NE,1708797158
68,tres marias,19.0522,-99.2431,19.060000000000002,24,0,2.68,MX,1708797158
69,thompson,55.7435,-97.8558,-1.9099999999999682,74,75,7.2,CA,1708797158
70,darchula,29.8412,80.5287,7.060000000000002,38,85,3.12,NP,1708797159
71,dampit,-8.2116,112.7493,22.400000000000034,98,100,0.43,ID,1708797159
72,college,64.8569,-147.8028,-18.819999999999965,77,40,0.0,US,1708796866
73,bilibino,68.0546,166.4372,-32.40999999999997,100,100,0.6,RU,1708797159
74,atafu village,-8.5421,-172.5159,28.78000000000003,74,48,3.76,TK,1708797159
75,kentau,43.5206,68.5094,-5.21999999999997,64,2,4.68,KZ,1708797160
76,talcahuano,-36.7167,-73.1167,21.82000000000005,46,0,6.69,CL,1708797160
77,klyuchi,52.2667,79.1667,-21.089999999999975,95,24,2.63,RU,1708797160
78,sicuani,-14.2694,-71.2261,13.870000000000005,65,100,1.29,PE,1708797160
79,saldanha,-33.0117,17.9442,20.03000000000003,84,100,8.28,ZA,1708796993
80,chakari,-18.0629,29.8925,24.390000000000043,56,42,2.09,ZW,1708797161
81,inirida,3.8653,-67.9239,39.26000000000005,24,56,1.02,CO,1708797030
82,puerto natales,-51.7236,-72.4875,17.25,51,75,0.0,CL,1708797161
83,pervomays'k,48.0443,30.8507,9.25,65,100,8.62,UA,1708797163
84,xacmaz,41.4635,48.806,1.82000000000005,76,100,1.11,AZ,1708797163
85,svetlyy,54.675,20.1347,5.2000000000000455,85,77,5.56,RU,1708797163
86,tornio,65.8481,24.1466,3.0100000000000477,95,100,6.08,FI,1708797163
87,ribeira grande,38.5167,-28.7,18.220000000000027,82,40,7.2,PT,1708797164
88,zunyi,27.6867,106.9072,0.4800000000000182,90,100,1.12,CN,1708797164
89,tonj,7.2737,28.6822,32.160000000000025,30,100,2.45,SS,1708797164
90,fale old settlement,-9.3852,-171.2468,29.05000000000001,75,45,3.65,TK,1708797165
91,lihue,21.9789,-159.3672,22.77000000000004,76,20,3.6,US,1708797165
92,haiku-pauwela,20.9219,-156.3051,21.129999999999995,88,20,4.02,US,1708797165
93,sept-iles,50.2001,-66.3821,-9.409999999999968,58,20,7.2,CA,1708797165
94,west island,-12.1568,96.8225,28.25,66,100,4.69,CC,1708797165
95,hasaki,35.7333,140.8333,2.9399999999999977,56,100,5.39,JP,1708797166
96,port elizabeth,-33.918,25.5701,21.170000000000016,84,0,3.6,ZA,1708797166
97,broken hill,-31.95,141.4333,17.310000000000002,30,0,1.4,AU,1708797166
98,yarmouth,41.7057,-70.2286,4.4500000000000455,79,100,9.39,US,1708797166
99,puerto aysen,-45.4,-72.7,17.870000000000005,63,72,1.2,CL,1708797166
100,la ronge,55.1001,-105.2842,-7.859999999999957,62,75,9.77,CA,1708797167
101,mahina,-17.5065,-149.489,29.870000000000005,70,20,1.54,PF,1708797167
102,fort st. john,56.2499,-120.8529,-6.060000000000002,58,75,3.09,CA,1708797167
103,magdagachi,53.45,125.8,-25.539999999999964,100,59,0.98,RU,1708797167
104,qina,26.1642,32.7267,21.650000000000034,26,35,4.38,EG,1708797168
105,port lincoln,-34.7333,135.8667,17.220000000000027,80,63,2.0,AU,1708797168
106,margaret river,-33.95,115.0667,16.210000000000036,78,49,5.68,AU,1708797168
107,saint-girons,42.9167,1.1667,4.580000000000041,57,96,1.23,FR,1708797168
108,portland,45.5234,-122.6762,9.990000000000009,89,75,1.54,US,1708796998
109,varna,43.2167,27.9167,11.360000000000014,76,40,4.12,BG,1708797169
110,vlore,40.4667,19.4897,13.930000000000007,63,100,10.72,AL,1708797169
111,kodiak,57.79,-152.4072,-1.2699999999999818,64,0,4.12,US,1708797169
112,san fernando,15.0286,120.6898,26.850000000000023,76,61,2.59,PH,1708797169
113,tsiombe,-25.3,45.4833,24.30000000000001,82,20,8.09,MG,1708797169
114,qaqortoq,60.7167,-46.0333,-0.8599999999999568,94,100,3.19,GL,1708797170
115,uusikaupunki,60.8004,21.4084,-0.060000000000002274,100,100,1.53,FI,1708797170
116,high river,50.5834,-113.8687,-2.25,85,96,2.72,CA,1708797170
117,longyearbyen,78.2186,15.6401,-5.089999999999975,80,75,1.54,SJ,1708797170
118,weno,7.4515,151.8468,27.340000000000032,84,64,8.03,FM,1708797171
119,zhongshan,21.3226,110.5829,18.450000000000045,63,100,3.93,CN,1708797171
120,sitia,35.2,26.0986,16.100000000000023,72,0,3.16,GR,1708797171
121,alto araguaia,-17.3147,-53.2153,29.560000000000002,57,89,4.4,BR,1708797171
122,sydney,-33.8679,151.2073,18.170000000000016,87,53,3.6,AU,1708797081
123,isafjordur,66.0755,-23.124,-8.20999999999998,77,46,2.53,IS,1708797172
124,pemangkat,1.1667,108.9667,25.53000000000003,91,74,3.98,ID,1708797172
125,lazaro cardenas,17.9583,-102.2,28.590000000000032,58,85,3.18,MX,1708797172
126,mil'kovo,55.6078,37.7956,1.3500000000000227,84,100,7.21,RU,1708797172
127,utrik,11.2278,169.8474,25.32000000000005,80,100,7.84,MH,1708797173
128,dudinka,69.4058,86.1778,-19.069999999999965,93,100,8.49,RU,1708797173
129,olonkinbyen,70.9221,-8.7187,-4.489999999999952,70,100,10.26,SJ,1708797173
130,bellavista,-7.0561,-76.5911,32.710000000000036,66,40,1.54,PE,1708797173
131,howrah,22.5892,88.3103,23.0,64,40,2.57,IN,1708797139
132,lebu,-37.6167,-73.65,17.370000000000005,61,84,7.12,CL,1708797174
133,new norfolk,-42.7826,147.0587,12.720000000000027,97,48,1.41,AU,1708797174
134,harstad,68.799,16.5293,5.660000000000025,97,99,12.07,NO,1708797174
135,antofagasta,-23.65,-70.4,23.600000000000023,69,83,4.42,CL,1708797174
136,voi,-3.3945,38.563,25.600000000000023,72,95,1.16,KE,1708797174
137,dryden,49.7833,-92.7503,-1.839999999999975,50,20,8.75,CA,1708797175
138,iqaluit,63.7506,-68.5145,-30.149999999999977,67,40,1.03,CA,1708797006
139,midvagur,62.0511,-7.1939,2.4600000000000364,87,75,6.69,FO,1708797175
140,tiksi,71.6872,128.8694,-29.43999999999997,99,84,3.86,RU,1708797175
141,hadibu,12.65,54.0333,24.680000000000007,69,48,3.6,YE,1708797175
142,monrovia,6.3005,-10.7969,28.24000000000001,72,11,5.37,LR,1708797064
143,tura,25.5198,90.2201,16.53000000000003,27,18,1.26,IN,1708797176
144,avarua,-21.2078,-159.775,26.03000000000003,100,75,0.0,CK,1708797176
145,constantia,44.1833,28.65,10.390000000000043,81,52,7.09,RO,1708797176
146,puerto cortez,15.8333,-87.95,31.230000000000018,71,49,3.25,HN,1708797176
147,karratha,-20.7377,116.8463,27.620000000000005,75,72,5.64,AU,1708797176
148,san julian,21.0167,-102.1667,22.57000000000005,25,92,2.7,MX,1708797177
149,sola,-13.8833,167.55,28.420000000000016,77,98,4.23,VU,1708797177
150,champerico,14.3,-91.9167,32.30000000000001,60,15,3.94,GT,1708797177
151,aripuana,-9.1667,-60.6333,24.129999999999995,94,100,1.82,BR,1708797177
152,obo,5.3998,26.4869,28.930000000000007,31,100,1.9,CF,1708797177
153,hammerfest,70.6634,23.6821,4.25,70,91,9.77,NO,1708797178
154,biltine,14.5333,20.9167,30.07000000000005,18,28,4.13,TD,1708797088
155,north bend,43.4065,-124.2243,10.04000000000002,93,0,0.0,US,1708797178
156,dassa-zoume,7.75,2.1833,33.660000000000025,31,79,5.01,BJ,1708797178
157,robore,-18.3333,-59.75,28.060000000000002,85,100,0.79,BO,1708797178
158,kudymkar,59.0173,54.656,-7.21999999999997,94,92,3.81,RU,1708797178
159,sandnessjoen,66.0217,12.6316,4.2900000000000205,66,100,9.57,NO,1708797179
160,suda,59.1525,37.5582,1.0600000000000023,98,100,5.88,RU,1708797179
161,pecos,31.4229,-103.4932,17.910000000000025,31,0,0.0,US,1708797179
162,hastings,50.8552,0.5729,6.960000000000036,86,70,1.52,GB,1708797179
163,port augusta,-32.5,137.7667,18.29000000000002,34,20,1.61,AU,1708797179
164,port isabel,26.0734,-97.2086,26.02000000000004,68,0,4.12,US,1708797470
165,vadso,70.0744,29.7487,3.490000000000009,83,100,12.16,NO,1708797180
166,rikaze,29.25,88.8833,-4.0499999999999545,21,64,2.29,CN,1708797180
167,conde,-7.2597,-34.9075,31.700000000000045,62,20,7.2,BR,1708797180
168,masterton,-40.9597,175.6575,17.83000000000004,82,99,4.51,NZ,1708797180
169,padang,-0.9492,100.3543,25.03000000000003,88,100,1.41,ID,1708797180
170,santa terezinha,-29.9002,-50.0904,27.54000000000002,74,3,4.26,BR,1708797180
171,antsohihy,-14.8796,47.9875,25.760000000000048,93,100,0.96,MG,1708797181
172,korla,41.7597,86.1469,-2.2799999999999727,50,100,1.89,CN,1708797181
173,divo,5.8397,-5.36,32.56,31,68,1.77,CI,1708797181
174,inarajan village,13.2736,144.7484,26.54000000000002,93,100,8.66,GU,1708797181
175,kalengwa,-13.4659,25.0027,19.170000000000016,85,100,2.3,ZM,1708797181
176,ravar,31.2656,56.8055,12.710000000000036,26,100,1.01,IR,1708797181
177,sitka,57.0531,-135.33,0.9399999999999977,80,20,2.06,US,1708797004
178,saipan,15.1355,145.701,25.390000000000043,83,20,5.14,MP,1708797182
179,vorgashor,67.5833,63.95,-4.310000000000002,96,100,5.21,RU,1708797182
180,agat village,13.3886,144.6585,26.52000000000004,90,75,4.12,GU,1708797182
181,codrington,-38.2667,141.9667,10.850000000000023,83,56,2.89,AU,1708797183
182,st. john's,47.5649,-52.7093,4.660000000000025,78,75,6.17,CA,1708797153
183,skovorodino,53.9833,123.9167,-25.089999999999975,100,45,1.13,RU,1708797183
184,mitsamiouli,-11.3847,43.2844,28.24000000000001,74,92,1.21,KM,1708797184
185,tutong,4.8,114.65,28.05000000000001,90,69,2.55,BN,1708797184
186,tabou,4.423,-7.3528,28.75,80,66,5.44,CI,1708797184
187,kirakira,-10.4544,161.9205,26.590000000000032,85,99,1.67,SB,1708797184
188,williamston,35.8546,-77.0555,15.050000000000011,52,2,3.86,US,1708797128
189,gadzhiyevo,69.2551,33.3362,1.8400000000000318,78,26,11.76,RU,1708797185
190,arteche,12.2645,125.4048,24.960000000000036,90,32,3.09,PH,1708797185
191,takoradi,4.8845,-1.7554,27.950000000000045,76,77,3.21,GH,1708797185
192,meulaboh,4.1363,96.1285,25.83000000000004,89,93,2.03,ID,1708797185
193,saint-pierre,-21.3393,55.4781,25.82000000000005,94,100,2.06,RE,1708797186
194,kenora,49.8167,-94.4337,-3.4599999999999795,74,20,8.75,CA,1708797186
195,nandurbar,21.3667,74.25,21.80000000000001,15,0,0.95,IN,1708797186
196,nova sintra,14.8667,-24.7167,20.52000000000004,74,99,9.98,CV,1708797186
197,shangrao,28.4532,117.9686,2.2200000000000273,94,100,2.3,CN,1708797186
198,pangody,65.85,74.4859,-12.25,95,100,6.52,RU,1708797187
199,katsuura,35.1333,140.3,7.680000000000007,67,94,5.32,JP,1708797187
200,sao vicente,-23.9631,-46.3919,31.660000000000025,49,75,2.57,BR,1708797187
201,bengkulu,-3.8004,102.2655,25.200000000000045,90,99,1.44,ID,1708797187
202,al artawiyah,26.5053,45.3444,20.25,40,100,5.44,SA,1708797187
203,aldinga beach,-35.2793,138.4604,19.80000000000001,48,80,2.36,AU,1708797188
204,selfoss,63.9331,-20.9971,-5.529999999999973,81,100,4.5,IS,1708797188
205,enewetak,11.3474,162.3373,25.840000000000032,79,97,7.98,MH,1708797188
206,phek,25.6667,94.5,4.670000000000016,81,7,0.32,IN,1708797188
207,udachny,66.4167,112.4,-31.609999999999985,95,97,1.49,RU,1708797189
208,punta arenas,-53.15,-70.9167,15.060000000000002,63,75,5.14,CL,1708796904
209,port mathurin,-19.6833,63.4167,26.950000000000045,84,99,6.96,MU,1708797189
210,nar'yan-mar,67.6713,53.087,-1.0499999999999545,94,100,7.6,RU,1708797190
211,lagos,6.5833,3.75,32.18000000000001,66,98,1.18,NG,1708797016
212,afaahiti,-17.75,-149.2833,28.930000000000007,75,80,2.04,PF,1708796911
213,genthin,52.4,12.1667,7.2000000000000455,73,53,4.37,DE,1708797190
214,bada,51.392,109.8717,-25.299999999999983,96,6,1.43,RU,1708797190
215,east london,-33.0153,27.9116,22.52000000000004,78,20,3.09,ZA,1708797190
216,jalor,25.35,72.6167,16.860000000000014,14,4,1.86,IN,1708797191
217,ndende,-2.4008,11.3581,24.5,93,100,1.29,GA,1708797191
218,isangel,-19.55,169.2667,25.900000000000034,87,90,4.67,VU,1708797191
219,akureyri,65.6835,-18.0878,-2.0399999999999636,80,75,7.2,IS,1708797191
220,kargasok,59.0556,80.8572,-14.45999999999998,96,99,2.68,RU,1708797192
221,salavan,15.7167,106.4167,21.450000000000045,82,62,1.56,LA,1708797192
222,laguna,38.421,-121.4238,18.99000000000001,70,0,2.57,US,1708797192
223,villa gesell,-37.2639,-56.973,19.470000000000027,54,80,6.71,AR,1708797192
224,afif,23.9065,42.9172,25.230000000000018,32,13,9.29,SA,1708797192
225,usogorsk,63.4106,48.6872,-0.12999999999999545,94,100,4.58,RU,1708797192
226,lompoc,34.6391,-120.4579,19.78000000000003,69,0,3.09,US,1708797193
227,jiangyou,31.7667,104.7167,2.580000000000041,81,66,0.96,CN,1708797193
228,urengoy,65.9667,78.3667,-17.129999999999995,94,100,5.73,RU,1708797193
229,tazovsky,67.4667,78.7,-16.870000000000005,95,100,7.2,RU,1708797194
230,hermanus,-34.4187,19.2345,17.600000000000023,82,100,5.32,ZA,1708797194
231,miri,4.4148,114.0089,26.08000000000004,94,40,1.54,MY,1708797194
232,camacupa,-12.0167,17.4833,18.689999999999998,94,100,2.06,AO,1708797195
233,kununurra,-15.7667,128.7333,25.99000000000001,94,100,1.54,AU,1708797195
234,abu zabad,12.35,29.25,29.410000000000025,27,89,2.1,SD,1708797195
235,hawaiian paradise park,19.5933,-154.9731,20.5,85,20,2.57,US,1708797195
236,swakopmund,-22.6833,14.5333,18.32000000000005,80,25,1.79,NA,1708797196
237,cabo san lucas,22.8909,-109.9124,28.670000000000016,66,99,1.79,MX,1708797481
238,maralal,1.0968,36.698,17.700000000000045,67,75,3.08,KE,1708797196
239,tutoia,-2.7619,-42.2744,27.78000000000003,77,68,3.82,BR,1708797196
240,dombarovskiy,50.7587,59.5386,-21.109999999999985,81,2,0.89,RU,1708797196
241,huarmey,-10.0681,-78.1522,27.32000000000005,72,92,5.97,PE,1708797197
242,khandyga,62.6667,135.6,-43.01999999999998,100,54,1.01,RU,1708797197
243,tamandare,-8.7597,-35.1047,29.710000000000036,65,7,5.56,BR,1708797197
244,tindouf,27.6711,-8.1474,29.25,11,0,2.06,DZ,1708797197
245,port huron,42.9709,-82.4249,-2.849999999999966,65,100,6.17,US,1708796927
246,ghanzi,-21.5667,21.7833,29.510000000000048,25,5,3.91,BW,1708797198
247,cartagena del chaira,1.3349,-74.8429,37.910000000000025,24,80,2.56,CO,1708797198
248,sumbawa besar,-8.5,117.4333,24.28000000000003,95,52,1.57,ID,1708797198
249,merizo village,13.2658,144.6691,26.310000000000002,93,100,8.78,GU,1708797199
250,zhezqazghan,47.7833,67.7667,-22.539999999999964,77,0,3.63,KZ,1708797199
251,gorgan,36.8387,54.4348,5.980000000000018,93,100,2.06,IR,1708797199
252,wenchang,30.904,118.4887,-1.0199999999999818,91,100,2.23,CN,1708797199
253,yeppoon,-23.1333,150.7333,23.879999999999995,84,100,5.96,AU,1708797200
254,namtsy,62.7161,129.6658,-39.609999999999985,100,54,0.28,RU,1708797200
255,jiuquan,39.7432,98.5174,-8.409999999999968,92,41,1.01,CN,1708797200
256,pedernales,18.0384,-71.744,26.99000000000001,56,0,3.33,DO,1708797200
257,yugorsk,61.3133,63.3319,-7.839999999999975,94,43,3.26,RU,1708797201
258,fort bragg,35.139,-79.006,17.120000000000005,40,75,5.66,US,1708797201
259,aykhal,66.0,111.5,-26.73999999999998,82,100,2.04,RU,1708797201
260,port douglas,-16.4833,145.4667,26.410000000000025,86,76,1.16,AU,1708797201
261,trondheim,63.4305,10.3951,6.03000000000003,83,82,2.42,NO,1708797201
262,oranjemund,-28.55,16.4333,17.710000000000036,86,2,3.41,NA,1708797202
263,aljezur,37.3191,-8.8033,13.960000000000036,68,66,5.85,PT,1708797202
264,stornoway,58.2093,-6.3865,5.020000000000039,76,28,1.03,GB,1708797202
265,kingston,17.997,-76.7936,27.53000000000003,69,75,3.6,JM,1708797435
266,malvik,63.4333,10.6833,5.770000000000039,52,0,8.75,NO,1708797203
267,caleta de carquin,-11.0925,-77.6267,27.230000000000018,71,94,6.31,PE,1708797203
268,sambalpur,21.45,83.9667,21.689999999999998,73,60,2.41,IN,1708797203
269,zahedan,29.4963,60.8629,10.950000000000045,25,0,2.06,IR,1708797203
270,sucua,-2.4667,-78.1667,26.410000000000025,69,75,5.14,EC,1708797204
271,kargil,34.5667,76.1,-19.47999999999999,93,100,0.22,IN,1708797204
272,margate,51.3813,1.3862,4.610000000000014,90,95,0.45,GB,1708797204
273,ancud,-41.8697,-73.8203,16.53000000000003,61,28,3.58,CL,1708797204
274,hauterive,46.0901,3.4459,6.420000000000016,74,68,3.54,FR,1708797205
275,coishco,-9.0231,-78.6156,26.960000000000036,71,31,5.86,PE,1708797205
276,kassala,15.451,36.4,29.560000000000002,44,20,6.34,SD,1708797028
277,amga,60.8953,131.9608,-36.75999999999999,100,100,0.29,RU,1708797205
278,erenhot,43.6475,111.9767,-12.539999999999964,72,73,1.33,CN,1708797206
279,dalbandin,28.8947,64.4101,14.78000000000003,19,42,2.88,PK,1708797206
280,bereket,39.2446,55.5154,1.7900000000000205,90,91,5.17,TM,1708797206
281,lagoa,39.05,-27.9833,16.0,83,100,9.41,PT,1708797206
282,mata-utu,-13.2816,-176.1745,28.689999999999998,77,40,4.51,WF,1708797206
283,kasongo-lunda,-6.4667,16.8167,23.620000000000005,95,100,0.17,CD,1708797206
284,mejit,10.2753,170.8646,26.02000000000004,81,100,9.32,MH,1708797207
285,maun,-19.9833,23.4167,35.98000000000002,23,0,1.54,BW,1708797207
286,ise-ekiti,7.4632,5.4281,28.930000000000007,31,100,0.81,NG,1708797207
287,copala,16.65,-98.9833,30.110000000000014,53,12,3.13,MX,1708797207
